GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,AIANHHRA,AIANHHTA,AIANHHA,AITSA,ANRCA,CSAA,NECTAA,NECTADIVA,CNECTAA,CDA,SLDUA,SLDLA,VTDA,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7S001,H7S002,H7S003,H7S004,H7S005,H7S006,H7S007,H7S008,H7S009,H7S010,H7S011,H7S012,H7S013,H7S014,H7S015,H7S016,H7S017,H7S018,H7S019,H7S020,H7S021,H7S022,H7S023,H7S024,H7S025,H7S026,H7S027,H7S028,H7S029,H7S030,H7S031,H7S032,H7S033,H7S034,H7S035,H7S036,H7S037,H7S038,H7S039,H7S040,H7S041,H7S042,H7S043,H7S044,H7S045,H7S046,H7S047,H7S048,H7S049,H7S050,H7S051,H7S052,H7S053,H7S054,H7S055,H7S056,H7S057,H7S058,H7S059,H7S060,H7S061,H7S062,H7S063,H7S064,H7S065,H7S066,H7S067,H7S068,H7S069,H7S070,H7S071
GIS Join Match Code,Data File Year,Region Code,Division Code,State Name,State Code,County Name,County Code,County Subdivision Code,Place Code,Census Tract Code,Block Group Code,Block Code,Consolidated City Code,American Indian Area/Alaska Native Area (Reservation or Statistical Entity Only) Code,American Indian Area (Off-Reservation Trust Land Only)/Hawaiian Home Land Code,American Indian Area/Alaska Native Area/Hawaiian Home Land Code,Tribal Subdivision/Remainder Code,Alaska Native Regional Corporation Code,Combined Statistical Area Code,New England City and Town Area Code,NECTA Division Code,Combined New England City and Town Area Code,Congressional District (111th Congress) Code,State Legislative District (Upper Chamber) Code,State Legislative District (Lower Chamber) Code,Voting District/Remainder Code,Subminor Civil Division Code,School District (Elementary)/Remainder Code,School District (Secondary)/Remainder Code,School District (Unified)/Remainder Code,Area Name-Legal/Statistical Area Description (LSAD) Term-Part Indicator,School Attendance Area Code,Total,Population of one race,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races,Population of two races,Population of Two Races: White; Black or African American,Population of Two Races: White; American Indian and Alaska Native,Population of Two Races: White; Asian,Population of Two Races: White; Native Hawaiian and Other Pacific Islander,Population of Two Races: White; some other race,Population of Two Races: Black or African American; American Indian and Alaska Native,Population of Two Races: Black or African American; Asian,Population of Two Races: Black or African American; Native Hawaiian and Other Pacific Islander,Population of Two Races: Black or African American; some other race,Population of Two Races: American Indian and Alaska Native; Asian,Population of Two Races: American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Population of Two Races: American Indian and Alaska Native; some other race,Population of Two Races: Asian; Native Hawaiian and Other Pacific Islander,Population of Two Races: Asian; some other race,Population of Two Races: Native Hawaiian and Other Pacific Islander; some other race,Population of three races,Population of Three Races: White; Black or African American; American Indian and Alaska Native,Population of Three Races: White; Black or African American; Asian,Population of Three Races: White; Black or African American; Native Hawaiian and Other Pacific Islander,Population of Three Races: White; Black or African American; some other race,Population of Three Races: White; American Indian and Alaska Native; Asian,Population of Three Races: White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Population of Three Races: White; American Indian and Alaska Native; some other race,Population of Three Races: White; Asian; Native Hawaiian and Other Pacific Islander,Population of Three Races: White; Asian; some other race,Population of Three Races: White; Native Hawaiian and Other Pacific Islander; some other race,Population of Three Races: Black or African American; American Indian and Alaska Native; Asian,Population of Three Races: Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Population of Three Races: Black or African American; American Indian and Alaska Native; some other race,Population of Three Races: Black or African American; Asian; Native Hawaiian and Other Pacific Islander,Population of Three Races: Black or African American; Asian; some other race,Population of Three Races: Black or African American; Native Hawaiian and Other Pacific Islander; some other race,Population of Three Races: American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Population of Three Races: American Indian and Alaska Native; Asian; some other race,Population of Three Races: American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; some other race,Population of Three Races: Asian; Native Hawaiian and Other Pacific Islander; some other race,Population of four races,Population of Four Races: White; Black or African American; American Indian and Alaska Native; Asian,Population of Four Races: White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Population of Four Races: White; Black or African American; American Indian and Alaska Native; some other race,Population of Four Races: White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,Population of Four Races: White; Black or African American; Asian; some other race,Population of Four Races: White; Black or African American; Native Hawaiian and Other Pacific Islander; some other race,Population of Four Races: White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Population of Four Races: White; American Indian and Alaska Native; Asian; some other race,Population of Four Races: White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; some other race,Population of Four Races: White; Asian; Native Hawaiian and Other Pacific Islander; some other race,Population of Four Races: Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Population of Four Races: Black or African American; American Indian and Alaska Native; Asian; some other race,Population of Four Races: Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; some other race,Population of Four Races: Black or African American; Asian; Native Hawaiian and Other Pacific Islander; some other race,Population of Four Races: American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; some other race,Population of five races,Population of Five Races: White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Population of Five Races: White; Black or African American; American Indian and Alaska Native; Asian; some other race,Population of Five Races: White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; some other race,Population of Five Races: White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; some other race,Population of Five Races: White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; some other race,Population of Five Races: Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; some other race,Population of six races,Population of Six Races: White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; some other race
"G0100010","2010","3","6","Alabama","01","Autauga County","001",,,,,,,,,,,,"388",,,,,,,,,,,,"Autauga County",,39958,39530,31910,6767,180,346,23,304,428,404,46,197,83,6,23,16,12,6,6,0,0,1,3,4,1,22,11,2,1,0,0,0,4,2,1,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100030","2010","3","6","Alabama","01","Baldwin County","003",,,,,,,,,,,,"380",,,,,,,,,,,,"Baldwin County",,140367,138905,122238,12272,923,1002,70,2400,1462,1398,117,787,161,17,174,49,19,5,16,9,0,10,11,12,11,60,25,2,1,3,14,1,5,4,1,0,1,0,0,2,0,1,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"G0100050","2010","3","6","Alabama","01","Barbour County","005",,,,,,,,,,,,"999",,,,,,,,,,,,"Barbour County",,21442,21275,10855,9647,86,80,24,583,167,163,26,36,2,1,26,49,1,4,3,0,1,2,1,5,6,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"G0100070","2010","3","6","Alabama","01","Bibb County","007",,,,,,,,,,,,"142",,,,,,,,,,,,"Bibb County",,17714,17584,13403,3975,47,14,11,134,130,128,17,65,13,2,7,6,10,5,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100090","2010","3","6","Alabama","01","Blount County","009",,,,,,,,,,,,"142",,,,,,,,,,,,"Blount County",,43216,42810,40515,549,227,91,23,1405,406,394,14,263,34,6,54,6,2,0,3,3,0,0,3,6,0,12,9,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100110","2010","3","6","Alabama","01","Bullock County","011",,,,,,,,,,,,"999",,,,,,,,,,,,"Bullock County",,8484,8432,2164,5838,21,17,31,361,52,49,7,18,0,0,3,6,0,2,5,0,0,3,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100130","2010","3","6","Alabama","01","Butler County","013",,,,,,,,,,,,"999",,,,,,,,,,,,"Butler County",,15891,15811,9109,6504,44,119,3,32,80,76,11,33,4,1,11,9,3,2,1,0,0,1,0,0,0,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100150","2010","3","6","Alabama","01","Calhoun County","015",,,,,,,,,,,,"999",,,,,,,,,,,,"Calhoun County",,91446,90441,70313,17746,451,665,70,1196,1005,939,137,409,141,27,72,52,33,9,19,7,2,4,14,10,3,62,28,1,1,3,4,2,1,12,3,1,1,0,1,1,2,0,1,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"G0100170","2010","3","6","Alabama","01","Chambers County","017",,,,,,,,,,,,"122",,,,,,,,,,,,"Chambers County",,26512,26332,16182,9798,58,138,6,150,180,173,36,82,18,0,15,7,4,0,9,0,0,0,0,1,1,6,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0100190","2010","3","6","Alabama","01","Cherokee County","019",,,,,,,,,,,,"999",,,,,,,,,,,,"Cherokee County",,20423,20216,19090,909,105,35,1,76,207,202,11,154,12,8,9,7,0,0,0,0,0,0,0,1,0,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
