OBJECTID,NAME,ADDRESS,LONG,LAT
1,THOMAS A. EDISON SCHOOL -,"60 GLENMONT ROAD,",-71.16019,42.34558004
2,SAMUEL ADAMS ELEMENTARY SCHOOL -,"165 WEBSTER STREET,",-71.03488973,42.36555437
3,EAST BOSTON HIGH SCHOOL GYMNASIUM -,"86 WHITE STREET,",-71.03492085,42.38094882
4,CHEVERUS SCHOOL APARTMENTS -,"10 MOORE STREET,",-71.02013173,42.38381754
5,ORIENT HEIGHTS YACHT CLUB -,61 BAYSWATER STREET.,-71.00466,42.38405004
6,CURTIS GUILD ELEMENTARY SCHOOL -,"5 ASHLEY STREET,",-71.00502369,42.38825193
7,ORIENT HEIGHTS HOUSING COMMUNITY BUILDING -,"38 VALLAR ROAD,",-71.0083735,42.39251518
8,HARBOR POINT TECHNOLOGY CENTER -,"15 HARBOR POINT BOULEVARD,",-71.04330569,42.31858607
9,DONALD MCKAY SCHOOL -,"122 COTTAGE STREET,",-71.03422003,42.36923939
10,B.H.A. HERITAGE APARTMENTS -,"209 SUMNER STREET,",-71.03962975,42.36861938
11,PARIS STREET COMMUNITY CENTER -,"112 PARIS STREET,",-71.03752772,42.37287943
12,PARIS STREET COMMUNITY CENTER -,"112 PARIS STREET,",-71.03752772,42.37287943
13,EAST BOSTON HIGH SCHOOL GYMNASIUM -,"86 WHITE STREET,",-71.03492085,42.38094882
14,EAST BOSTON HIGH SCHOOL GYMNASIUM -,"86 WHITE STREET,",-71.03492085,42.38094882
15,EAST BOSTON HIGH SCHOOL GYMNASIUM -,"86 WHITE STREET,",-71.03492085,42.38094882
16,EAST BOSTON HIGH SCHOOL GYMNASIUM -,"86 WHITE STREET,",-71.03492085,42.38094882
17,ZELMA LACEY HOUSE -,9 WEST SCHOOL STREET.,-71.06680072,42.37585701
18,HARVARD/KENT SCHOOL -,"50 BUNKER HILL STREET,",-71.0575463,42.37661533
19,ZELMA LACEY HOUSE -,9 WEST SCHOOL STREET.,-71.06680072,42.37585701
20,HARVARD/KENT SCHOOL -,"50 BUNKER HILL STREET,",-71.0575463,42.37661533
21,CLARENCE R. EDWARDS MIDDLE SCHOOL -,"28 WALKER STREET,",-71.06723065,42.37907172
22,CLARENCE R. EDWARDS MIDDLE SCHOOL -,"28 WALKER STREET,",-71.06723065,42.37907172
23,GOLDEN AGE SENIOR CENTER -,"382 MAIN STREET,",-71.06991844,42.37976549
24,CHRISTOPHER COLUMBUS ELDERLY HOUSING,"145 COMMERCIAL STREET,",-71.05198,42.36243004
25,CASA MARIA APARTMENTS -,130 ENDICOTT STREET,-71.05748904,42.36488871
26,AMY LOWELL HOUSE -,"65 MARTHA ROAD,",-71.06564,42.36562004
27,CITY HALL -,"1 CITY HALL PLAZA,",-71.05827006,42.36029497
28,CATHEDRAL HIGH SCHOOL GYMNASIUM -,"1336 WASHINGTON STREET,",-71.06882392,42.34139331
29,WANG YMCA OF CHINATOWN -,8 OAK STREET WEST.,-71.06378803,42.34857191
30,WILLIAM MCKINLEY SOUTH END ACADEMY -,"90 WARREN AVENUE,",-71.07352,42.34436004
31,TENT CITY COMMUNITY ROOM -,"130 DARTMOUTH STREET,",-71.07610032,42.34677942
32,WILLIAM MCKINLEY SOUTH END ACADEMY -,"90 WARREN AVENUE,",-71.07352,42.34436004
33,FREDERICK DOUGLASS APARTMENTS -,755 TREMONT STREET.,-71.07938,42.34012004
34,SYMPHONY PLAZA EAST  -,"334 MASSACHUSETTS AVENUE,",-71.08416984,42.34261041
35,MORVILLE HOUSE -,"100 NORWAY STREET,",-71.08812,42.34503004
36,MORVILLE HOUSE -,"100 NORWAY STREET,",-71.08812,42.34503004
37,SYMPHONY PLAZA WEST  -,"333 MASSACHUSETTS AVENUE,",-71.08467302,42.34227068
38,"WENTWORTH INSTITUTE, ANNEX CENTRAL BUILDING -","550 PARKER STREET,",-71.09419272,42.3354963
39,BENJAMIN FRANKLIN INSTITUTE OF TECHNOLOGY -,"41 BERKELEY STREET,",-71.0701988,42.34607639
40,BOSTON UNIVERSITY -KILACHAND HALL,91 BAY STATE ROAD,-71.097,42.35033004
41,HILL HOUSE COMMUNITY CENTER -,"127 MOUNT VERNON STREET,",-71.07091,42.35784004
42,BOSTON ARTS ACADEMY/FENWAY HIGH SCHOOL -,"174 IPSWICH STREET,",-71.09506995,42.34626336
43,BOSTON ARTS ACADEMY/FENWAY HIGH SCHOOL -,"174 IPSWICH STREET,",-71.09506995,42.34626336
44,STATE HOUSE -,24 BEACON STREET.,-71.06374887,42.35829263
45,WEST END LIBRARY -,"151 CAMBRIDGE STREET,",-71.065,42.36152004
46,HILL HOUSE COMMUNITY CENTER -,"127 MOUNT VERNON STREET,",-71.07091,42.35784004
47,EMMANUEL EPISCOPAL CHURCH -,"15 NEWBURY STREET,",-71.0724,42.35259004
48,COPLEY SQUARE LIBRARY -,"700 BOYLSTON STREET,",-71.07865866,42.34923106
49,COPLEY SQUARE LIBRARY -,"700 BOYLSTON STREET,",-71.07865866,42.34923106
50,SAINT CECILIA PARISH -,18 BELVIDERE STREET.,-71.08639,42.34652204
51,JAMES F. CONDON ELEMENTARY SCHOOL -,"200 D STREET,",-71.05215063,42.33801726
52,JAMES F. CONDON ELEMENTARY SCHOOL -,"200 D STREET,",-71.05215063,42.33801726
53,JAMES F. CONDON ELEMENTARY SCHOOL -,"200 D STREET,",-71.05215063,42.33801726
54,JULIE'S FAMILY LEARNING PROGRAM -,133 DORCHESTER STREET.,-71.04731107,42.33500154
55,SOUTH BOSTON LIBRARY -,"646 EAST BROADWAY,",-71.038714,42.33577599
56,MONSIGNOR JOHN T POWERS ELDERLY HOUSING -,120 L STREET.,-71.03489,42.33354004
57,SOUTH BOSTON LIBRARY -,"646 EAST BROADWAY,",-71.038714,42.33577599
58,MONSIGNOR JOHN T POWERS ELDERLY HOUSING -,120 L STREET.,-71.03489,42.33354004
59,MONSIGNOR JOHN T POWERS ELDERLY HOUSING -,120 L STREET.,-71.03489,42.33354004
60,CURLEY RECREATION CENTER,"1663 COLUMBIA ROAD,",-71.03515013,42.32911375
61,UPHAMS CROSSING -,"530 COLUMBIA ROAD,",-71.0669118,42.31563508
62,CURLEY RECREATION CENTER,"1663 COLUMBIA ROAD,",-71.03515013,42.32911375
63,FOLEY APARTMENTS -,"199 H STREET,",-71.04176538,42.33083263
64,UP ACADEMY (FORMERLY KNOWN AS GAVIN EDUCATION COMPLEX) -,"215 DORCHESTER STREET,",-71.05042907,42.33356509
65,WEST NINTH STREET ELDERLY COMMUNITY ROOM -,185 WEST NINTH STREET,-71.05301671,42.33295575
66,MARY ELLEN MCCORMACK,"345 OLD COLONY AVENUE,",-71.05291,42.32878004
67,MARY ELLEN MCCORMACK,"345 OLD COLONY AVENUE,",-71.05291,42.32878004
68,BELLFLOWER APARTMENTS -,"24 BELLFLOWER STREET,",-71.05887,42.32425004
69,BELLFLOWER APARTMENTS -,"24 BELLFLOWER STREET,",-71.05887,42.32425004
70,CATHEDRAL HIGH SCHOOL GYMNASIUM -,"1336 WASHINGTON STREET,",-71.06882392,42.34139331
71,CATHEDRAL HIGH SCHOOL GYMNASIUM -,"1336 WASHINGTON STREET,",-71.06882392,42.34139331
72,ORCHARD GARDENS COMMUNITY CENTER -,"2 DEARBORN STREET,",-71.07852836,42.32989114
73,ORCHARD GARDENS COMMUNITY CENTER -,"2 DEARBORN STREET,",-71.07852836,42.32989114
74,THE SALVATION ARMY RAY & JOAN KROC COMMUNITY CENTER -,"650 DUDLEY STREET,",-71.06964679,42.31931061
75,THE SALVATION ARMY RAY & JOAN KROC COMMUNITY CENTER -,"650 DUDLEY STREET,",-71.06964679,42.31931061
76,THE SALVATION ARMY RAY & JOAN KROC COMMUNITY CENTER -,"650 DUDLEY STREET,",-71.06964679,42.31931061
77,YOUTH DEVELOPMENT PROGRAM -,100 WEST DEDHAM STREET.,-71.07354818,42.34224466
78,WASHINGTON MANOR APARTMENTS -,"1701 WASHINGTON STREET,",-71.07621,42.33744004
79,HAMPTON HOUSE -,"155 NORTHAMPTON STREET,",-71.07818,42.33673004
80,MARCUS GARVEY GARDENS -,"44 JOHN ELIOT SQUARE,",-71.09112,42.32969004
81,MISSION MAIN COMMUNITY CENTER -,43 SMITH STREET,-71.0986498,42.33396344
82,MISSION MAIN COMMUNITY CENTER -,43 SMITH STREET,-71.0986498,42.33396344
83,TOBIN MUNICIPAL BUILDING -,"1481 TREMONT STREET,",-71.09814,42.33221004
84,TOBIN MUNICIPAL BUILDING -,"1481 TREMONT STREET,",-71.09814,42.33221004
85,JOHN F. KENNEDY ELEMENTARY SCHOOL -,"7 BOLSTER STREET,",-71.10583878,42.3217767
86,JULIA MARTIN HOUSE -,"90 BICKFORD STREET,",-71.101838,42.32391204
87,BACK OF THE HILL APARTMENTS -,100 SOUTH HUNTINGTON AVENUE.,-71.11042,42.32931004
